,Year,Month,Day,User Score,Title,Genre,Duration [minutes],Director,Lead_Actor_1,Lead_Actor_2,Budget [USD],Revenue [USD],Language,Classification
0,1972,Mar,14,87,The Godfather (1972),"['Drama', 'Crime']",175,Francis Ford Coppola,Marlon Brando,Al Pacino,"$6,000,000.00","$245,066,411.00",English,R
1,1994,Sep,23,87,The Shawshank Redemption (1994),"['Drama', 'Crime']",142,Frank Darabont,Tim Robbins,Morgan Freeman,"$25,000,000.00","$28,341,469.00",English,B
2,1974,Dec,20,86,The Godfather Part II (1974),"['Drama', 'Crime']",202,Francis Ford Coppola,Al Pacino,Robert Duvall,"$13,000,000.00","$102,600,000.00",English,R
3,1993,Dec,15,86,Schindler's List (1993),"['Drama', 'History', 'War']",195,Steven Spielberg,Liam Neeson,Ben Kingsley,"$22,000,000.00","$321,365,567.00",English,R
4,1995,Oct,19,86,Dilwale Dulhania Le Jayenge (1995),"['Comedy', 'Drama', 'Romance']",190,Aditya Chopra,Shah Rukh Khan,Kajol,"$13,200,000.00","$100,000,000.00",Hindi,G
5,2001,Jul,20,85,Spirited Away (2001),"['Animation', 'Family', 'Fantasy']",125,Hayao Miyazaki,Rumi Hiiragi,Miyu Irino,"$19,000,000.00","$274,925,095.00",Japanese,A
6,1957,Apr,10,85,12 Angry Men (1957),['Drama'],97,Reginald Rose,Martin Balsam,John Fiedler,"$350,000.00","$1,000,000.00",English,NR
7,2016,Aug,26,85,Your Name. (2016),"['Romance', 'Animation', 'Drama']",106,Makoto Shinkai,Ryunosuke Kamiki,Mone Kamishiraishi,-,"$357,986,087.00",Japanese,A
8,2019,May,30,85,Parasite (2019),"['Comedy', 'Thriller', 'Drama']",133,Bong Joon-ho,Song Kang-ho,Lee Sun-kyun,"$11,363,000.00","$257,591,776.00",Korean,B15
9,1999,Dec,10,85,The Green Mile (1999),"['Fantasy', 'Drama', 'Crime']",189,Frank Darabont,Tom Hanks,David Morse,"$60,000,000.00","$286,801,374.00",English,R
10,2008,Jul,14,85,The Dark Knight (2008),"['Drama', 'Action', 'Crime', 'Thriller']",152,Christopher Nolan,Christian Bale,Heath Ledger,"$185,000,000.00","$1,004,558,444.00",English,B
11,2020,Jul,31,85,Gabriel's Inferno: Part II (2020),['Romance'],105,Tosca Musk,Melanie Zanetti,Giulio Berruti,-,-,English,R
12,2020,May,29,85,Gabriel's Inferno (2020),['Romance'],122,Tosca Musk,Melanie Zanetti,Giulio Berruti,-,-,English,
